,Unnamed: 0,tag,token0,token1,date,timestamp,token0_daily_price_median_mint,token0_daily_amount_mint,token0_daily_price_median_burn,token0_daily_amount_burn,token0_daily_amount_net_mint_burn,liquidity_daily_sum_mint,liquidity_daily_sum_burn,liquidity_daily_net_mint_burn,token0_daily_price_median_swap,token0_daily_price_min_swap,token0_daily_price_max_swap,token0_daily_price_std_swap,token0_daily_amount_buy_swap,token0_daily_amount_sell_swap,token0_daily_amount_net_swap,total_events_daily_mint,total_events_daily_burn,total_events_daily_swap,total_events_daily
2,2,USDC_USDT,USDC,USDT,2023-08-25,1692921600,1.0,-1190.972789,,0.0,-1190.972789,490044364362.0,0.0,490044364362.0,,,,,,,,3,0,0,3
5,5,USDC_USDT,USDC,USDT,2023-08-26,1693008000,1.0,-324.821349,,0.0,-324.821349,55126477445.0,0.0,55126477445.0,,,,,,,,5,0,0,5
6,6,USDC_USDT,USDC,USDT,2023-08-27,1693094400,1.0285546786427149,-367.804886,1.028554724458924,99.699999,-268.104887,11091578313.0,-1746835806.0,9344742507.0,,,,,,,,10,1,0,11
8,8,USDC_USDT,USDC,USDT,2023-08-28,1693180800,0.7838029949904524,-163.690675,,0.0,-163.690675,3972488699.0,0.0,3972488699.0,,,,,,,,4,0,0,4
11,11,USDC_USDT,USDC,USDT,2023-08-29,1693267200,1.0285547166666666,-220.348921,,0.0,-220.348921,5025481074.0,0.0,5025481074.0,,,,,,,,7,0,0,7
12,12,USDC_USDT,USDC,USDT,2023-08-30,1693353600,1.0285547182987087,-314.210337,,0.0,-314.210337,24811090588.0,0.0,24811090588.0,,,,,,,,8,0,0,8
14,14,USDC_USDT,USDC,USDT,2023-08-31,1693440000,0.9994500944343324,-116.94552000000002,1.0,64.420959,-52.52456100000002,22930360852.0,-2621430131.0,20308930721.0,,,,,,,,12,3,0,15
16,16,USDC_USDT,USDC,USDT,2023-09-01,1693526400,1.0285547365974177,-219.914479,1.0285547272544344,290.696826,70.78234699999999,3015956222.0,-61286967280.0,-58271011058.0,,,,,,,,6,5,0,11
18,18,USDC_USDT,USDC,USDT,2023-09-02,1693612800,1.0,-54.83944699999999,1.0,26.763132,-28.076314999999997,15544011281.0,-13396299057.0,2147712224.0,,,,,,,,3,1,0,4
20,20,USDC_USDT,USDC,USDT,2023-09-03,1693699200,0.7336340256503787,-487.737768,,0.0,-487.737768,26985038808.0,0.0,26985038808.0,,,,,,,,26,0,0,26
22,22,USDC_USDT,USDC,USDT,2023-09-04,1693785600,1.0,-739.094479,1.0,1.799816,-737.294663,105028028375.0,-900899748.0,104127128627.0,,,,,,,,15,2,0,17
24,24,USDC_USDT,USDC,USDT,2023-09-05,1693872000,1.0285436666666667,-34.542939000000004,0.3858190533817337,43.746687,9.203747999999996,2382228659.0,-1710923839.0,671304820.0,,,,,,,,10,3,0,13
27,27,USDC_USDT,USDC,USDT,2023-09-06,1693958400,1.0,-112.683782,1.0285546735388411,2.990999,-109.692783,2161267685.0,-52405070.0,2108862615.0,0.99300625,0.99300625,0.99300625,,0.0,-0.32,-0.32,3,1,1,5
29,29,USDC_USDT,USDC,USDT,2023-09-07,1694044800,1.0,-76.575667,1.0,4.088565,-72.487102,2875174145.0,-506311248.0,2368862897.0,,,,,,,,7,3,0,10
31,31,USDC_USDT,USDC,USDT,2023-09-08,1694131200,1.0,-232.652177,0.4110393591814803,19.939998,-212.712179,89352382597.0,-1186714151.0,88165668446.0,,,,,,,,113,1,0,114
33,33,USDC_USDT,USDC,USDT,2023-09-09,1694217600,1.028288265,-499.448698,,0.0,-499.448698,130200396204.0,0.0,130200396204.0,,,,,,,,24,0,0,24
34,34,USDC_USDT,USDC,USDT,2023-09-10,1694304000,0.9695746665922904,-423.3953570000001,,0.0,-423.3953570000001,12138930701.0,0.0,12138930701.0,,,,,,,,29,0,0,29
37,37,USDC_USDT,USDC,USDT,2023-09-11,1694390400,1.02828828,-644.021694,1.0282882773492044,623.921787,-20.09990700000003,565483748549.0,-10860518309.0,554623230240.0,0.999583654405641,0.999583654405641,0.999583654405641,0.0,0.0,-2236.610673,-2236.610673,13,8,9,30
38,38,USDC_USDT,USDC,USDT,2023-09-12,1694476800,1.085623178206873,-6.081728,,0.0,-6.081728,598585391367.0,0.0,598585391367.0,,,,,,,,2,0,0,2
41,41,USDC_USDT,USDC,USDT,2023-09-13,1694563200,1.0282876288659797,-5959.948559,,0.0,-5959.948559,1044272173416.0,0.0,1044272173416.0,0.999596481121482,0.999596481121482,0.999596481121482,,101.49711,0.0,101.49711,5,0,1,6
43,43,USDC_USDT,USDC,USDT,2023-09-14,1694649600,0.9989001058317584,-27203.991328000004,1.040149684662755,98.508298,-27105.483030000003,14079816814705.0,-1730646147.0,14078086168558.0,0.9991199651288004,1.0009314544484134,0.996,0.0004233214279816,233482.302827,-226393.821574,7088.481253000005,21,2,827,850
44,44,USDC_USDT,USDC,USDT,2023-09-15,1694736000,0.97073036240799,-53593.46421700001,0.9668938660721196,14914.601958,-38678.86225900001,24598815029824.0,-2758901586799.0,21839913443025.0,0.999263583269137,1.0010274898602975,0.995028889165392,0.0004653173585265,1532285.030015,-1481969.584053,50315.44596200017,51,20,4255,4326
46,46,USDC_USDT,USDC,USDT,2023-09-16,1694822400,1.01830425,-107071.532714,1.018304889425753,23760.27109000001,-83311.26162399999,517384718946143.0,-9549060434586.0,507835658511557.0,0.9996242688668804,1.003601300563094,0.997,0.0002524278787412,2925105.532079,-2872844.584149,52260.94792999979,134,19,7804,7957
48,48,USDC_USDT,USDC,USDT,2023-09-17,1694908800,1.0164246115555555,-102625.125462,1.037188608411482,73310.57081199998,-29314.55465000002,156876362398215.0,-46710294207602.0,110166068190613.0,0.999783646263516,1.0043356825877323,0.9925,0.0006369077475689,3631364.068062,-3517712.679666,113651.38839600002,98,35,9024,9157
50,50,USDC_USDT,USDC,USDT,2023-09-18,1694995200,1.009618707879128,-59583.350513,1.0086070131021592,28430.965807,-31152.384706,365572067775675.0,-172807656055086.0,192764411720589.0,0.9996326874107416,1.0041065746195543,0.98989898989899,0.0004684657911883,1972969.898892,-1915331.197671,57638.70122099994,106,31,3749,3886
52,52,USDC_USDT,USDC,USDT,2023-09-19,1695081600,0.997063282548349,-36987.218185,0.9970634048285234,27040.356685,-9946.861499999995,45621569158474.0,-8778411133208.0,36843158025266.0,0.9997265162423338,1.002942091196767,0.995706262757498,0.0002626031333411,3548574.767311,-3498645.531399,49929.23591199983,106,35,7929,8070
55,55,USDC_USDT,USDC,USDT,2023-09-20,1695168000,0.9983886857142856,-125918.81678999998,1.0121226432434371,33500.631239,-92418.18555099996,439392811768270.0,-289314876741314.0,150077935026956.0,0.9998197379223784,1.0134454930634889,0.995910298064375,0.0006028660632067,3691410.990473,-3641422.997256001,49987.99321699934,78,36,7905,8019
57,57,USDC_USDT,USDC,USDT,2023-09-21,1695254400,0.9972057232623804,-82538.58103799999,1.0095349327667895,36118.561818,-46420.01921999999,685035454345962.0,-429440543201123.0,255594911144839.0,0.9999881654132174,1.0029639246659117,0.9945672945451418,0.0002763488658353,3600331.365573,-3581901.5835800003,18429.78199299984,70,27,7869,7966
59,59,USDC_USDT,USDC,USDT,2023-09-22,1695340800,0.983062215587065,-57419.795478,0.9565723701923234,60800.595935,3380.8004569999976,574773385656600.0,-677806917042069.0,-103033531385469.0,0.999872336946982,1.0126582278481011,0.9931818181818182,0.0003661317120064,3051878.470228,-3100897.4362230003,-49018.96599500068,74,28,7114,7216
61,61,USDC_USDT,USDC,USDT,2023-09-23,1695427200,1.0099371389685847,-62749.20013700001,1.010286531333694,24355.263256,-38393.936881,569113039647310.0,-452348023388267.0,116765016259043.0,0.9998013414579132,1.003736099189494,0.997,0.0001739886927756,5004891.969291,-4962037.972281,42853.99701000005,89,55,9194,9338
